Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock left,Auto Reorder,Reorder Quantity
ORD1029,24-01-2025,25-01-2025,CUST246,Bradley Cameron,Consumer,PROD4502,Laptop,Electronics,North,Delaware,Timothystad,6,4786,5,28280.2,27280.81,999.39,Net Banking,Returned,Hodge Ltd,reynoldsricky@jackson-benson.com,16,No,0
ORD1030,04-04-2025,06-04-2025,CUST464,Logan Cruz,Consumer,PROD6700,Sofa,Furniture,North,Delaware,Hooperland,10,4649,10,42841,41841.7,999.3,Net Banking,Delivered,"Williams, Wagner and Richard",joannajefferson@aguilar.com,38,No,0
ORD1031,11-08-2025,16-08-2025,CUST658,Lynn Allison,Corporate,PROD5873,Mouse,Electronics,West,New Jersey,Tiffanyburgh,10,3855,20,31840,30840.84,999.16,Credit card,Pending,"Ross, Walker and Jones",othomas@villanueva.com,8,Yes,50
ORD1032,15-02-2024,16-02-2024,CUST737,Stacey Diaz,Corporate,PROD4613,Sofa,Furniture,South,Wisconsin,Port Benjamin,4,2918,5,12088.4,11089.21,999.19,Cash,Returned,"Espinoza, Lawson and Scott",petersonsharon@levy.com,38,No,0
ORD1033,08-06-2024,10-06-2024,CUST423,Michael Salinas,Consumer,PROD4175,Juice Pack,Grocery,West,Arizona,Shanemouth,10,796,10,8164,7164.76,999.24,Net Banking,Pending,Herring PLC,jpayne@welch.com,14,No,0
ORD1034,15-07-2024,19-07-2024,CUST269,Karen Chan,Corporate,PROD1197,Monitor,Electronics,South,California,Lake Susanburgh,1,1795,20,2436,1436.67,999.33,UPI,Returned,Williamson-Gray,dwayne37@mason.com,17,No,0
ORD1035,05-03-2025,07-03-2025,CUST997,Catherine Case,Corporate,PROD8933,Study Table,Furniture,North,Maine,New Jeffrey,2,532,20,1051.2,851.83,199.37,Cash,Returned,Gray-Martinez,melody29@phillips.com,5,Yes,46
ORD1036,14-12-2023,17-12-2023,CUST190,Matthew Tran,Home Office,PROD3979,Notebook,Office Supplies,South,Kentucky,Lake Lorimouth,8,3589,5,27476.4,27277.28,199.12,Credit card,Cancelled,Turner and Sons,awilliams@steele-kim.com,40,No,0
ORD1037,10-07-2024,16-07-2024,CUST529,Kevin Galloway,Home Office,PROD4710,Rice Bag,Grocery,South,South Dakota,Tiffanyborough,2,2383,15,4251.1,4051.72,199.38,UPI,Pending,Wall Inc,lhuff@washington.biz,9,Yes,48
ORD1038,03-12-2023,04-12-2023,CUST208,Michael Robles,Corporate,PROD2188,Sugar,Grocery,West,Florida,Lopezside,3,304,0,1112,912.75,199.25,Net Banking,Delivered,Aguilar-Anderson,margaret78@simon-rice.net,34,No,0
ORD1039,27-12-2024,29-12-2024,CUST796,James Fritz,Corporate,PROD3729,Snacks,Grocery,North,Oklahoma,Melissaborough,4,490,15,1866,1666.63,199.37,UPI,Delivered,Morris Ltd,michael29@gray.info,25,No,0
ORD1040,14-10-2025,15-10-2025,CUST576,Anthony Todd,Corporate,PROD2907,Monitor,Electronics,North,New Jersey,West Brittanyville,2,2095,0,4390,4190.76,199.24,Credit card,Cancelled,Bentley PLC,elizabeth50@fisher.com,28,No,0
ORD1041,15-11-2024,20-11-2024,CUST986,Dennis Jackson,Consumer,PROD1873,Juice Pack,Grocery,East,Pennsylvania,West Maxwellville,9,2719,20,19776.8,19577.62,199.18,Cash,Delivered,"Marsh, Jackson and Foster",brandymendoza@harmon.com,19,No,0
ORD1042,24-05-2025,30-05-2025,CUST484,Douglas Edwards,Home Office,PROD2993,Calculator,Office Supplies,North,Wyoming,Oliviachester,3,544,15,1587.2,1387.84,199.36,UPI,Returned,Werner LLC,davisvictoria@jones.org,29,No,0
ORD1043,04-07-2024,08-07-2024,CUST521,Crystal Knight,Corporate,PROD9713,Notebook,Office Supplies,West,South Carolina,Brianachester,5,2981,20,12124,11924.86,199.14,Credit card,Cancelled,"Parks, Gonzalez and Martinez",shawchristopher@jimenez.biz,41,No,0
ORD1044,14-11-2024,18-11-2024,CUST333,Loretta Harrison,Corporate,PROD4511,Juice Pack,Grocery,South,Nevada,Lake Jessica,2,4396,20,7233.6,7034.28,199.32,Net Banking,Cancelled,Garcia Ltd,maldonadojohn@cortez-acevedo.com,3,Yes,24
ORD1045,29-02-2024,05-03-2024,CUST420,Mark Williams,Home Office,PROD4431,Headphones,Electronics,West,Missouri,Patrickport,6,3632,10,19812.8,19613.43,199.37,Cash,Delivered,Fox-Gomez,lisagardner@marks.net,9,Yes,20
ORD1046,27-10-2024,31-10-2024,CUST730,Pamela Smith,Home Office,PROD2082,Study Table,Furniture,East,Mississippi,Floreschester,1,3468,15,3147.8,2948.68,199.12,Cash,Returned,Church-Thomas,caroline42@thompson.org,50,No,0
ORD1047,21-12-2023,23-12-2023,CUST325,Anthony Chapman,Consumer,PROD1199,Office Chair,Furniture,West,Pennsylvania,Richardfurt,3,4915,5,14207.75,14008.41,199.34,Cash,Returned,"Watson, Aguilar and Patel",howardkyle@hawkins.net,30,No,0
ORD1048,07-06-2025,13-06-2025,CUST971,Melanie Chaney,Home Office,PROD4516,Juice Pack,Grocery,South,Alaska,Buchananport,6,3529,15,18197.9,17998.67,199.23,Cash,Pending,Jordan Ltd,jared61@warren.info,24,No,0
ORD1049,02-04-2024,08-04-2024,CUST562,Laura Hanson,Corporate,PROD5183,Juice Pack,Grocery,North,Alaska,Port Jonathanland,3,3754,20,9209.6,9010.33,199.27,Net Banking,Pending,Turner Group,jeremyconner@michael.com,8,Yes,27
ORD1050,11-03-2024,16-03-2024,CUST163,Lacey Stephens,Corporate,PROD4197,Monitor,Electronics,South,South Carolina,East Alexanderland,3,1242,15,3367.1,3167.98,199.12,Cash,Delivered,"Luna, Davies and Nichols",seth34@ibarra-jones.com,47,No,0
ORD1051,31-03-2025,05-04-2025,CUST745,Kristi Graves,Home Office,PROD7276,Office Chair,Furniture,North,Alaska,South Linda,7,4762,20,26867.2,26668.08,199.12,Cash,Delivered,"Hoover, Howell and Robbins",kelsey91@harrison-walker.com,25,No,0
ORD1052,10-03-2024,11-03-2024,CUST153,Shelley Fowler,Home Office,PROD4870,Juice Pack,Grocery,East,South Carolina,West Melissa,6,3008,10,16443.2,16243.83,199.37,Net Banking,Returned,Wells and Sons,dominguezkenneth@jennings-booth.biz,16,No,0
ORD1053,03-07-2025,08-07-2025,CUST385,Renee Olson,Consumer,PROD3324,File Folder,Office Supplies,North,Michigan,West Jeffrey,9,2693,20,19589.6,19390.48,199.12,UPI,Returned,Castro-Baxter,michelle66@rice-johnston.com,49,No,0
ORD1054,25-03-2025,31-03-2025,CUST729,Christopher Haley Jr.,Consumer,PROD3610,Study Table,Furniture,South,Iowa,North Cynthiafort,8,2413,20,15643.2,15443.9,199.3,Cash,Cancelled,Green PLC,kellygary@wilcox.com,2,Yes,35
ORD1055,24-02-2025,01-03-2025,CUST252,David Chung,Consumer,PROD3781,Rice Bag,Grocery,South,Utah,Jonathanstad,5,530,15,2452.5,2253.36,199.14,Cash,Returned,Bailey-Baker,mitchell00@martin.com,28,No,0
ORD1056,19-05-2024,21-05-2024,CUST688,Nancy Jones,Consumer,PROD3468,Cooking oil,Grocery,South,Arizona,Lisaview,2,4948,15,8861.6,8412.24,449.36,Net Banking,Delivered,Mata-Williams,megan45@holt-moore.org,35,No,0
ORD1057,15-12-2023,18-12-2023,CUST739,Matthew Herring,Home Office,PROD2136,Dining Table,Furniture,East,South Carolina,Sanchezshire,1,3999,10,4049.1,3599.9,449.2,UPI,Delivered,Burton Ltd,nhuynh@gonzalez.com,0,Yes,48
ORD1058,14-10-2024,17-10-2024,CUST250,David Ball,Home Office,PROD6606,Keyboard,Electronics,North,Arizona,East Natalieburgh,7,1973,10,12879.9,12430.51,449.39,Cash,Delivered,"Ware, Schultz and Wilkerson",jack28@wright-trujillo.biz,38,No,0
ORD1059,15-06-2024,18-06-2024,CUST692,Robert Conrad,Consumer,PROD5009,Laptop,Electronics,East,South Dakota,West Ianchester,4,3257,20,10872.4,10423.18,449.22,UPI,Pending,"Wilson, Webb and Francis",lyonssteven@green-hull.net,10,No,0
ORD1060,07-08-2024,13-08-2024,CUST314,Kaitlin Murphy,Home Office,PROD5685,Notebook,Office Supplies,East,Missouri,Lake Robertville,1,1520,20,1666,1216.77,449.23,Cash,Delivered,"Garcia, Bryan and Ferrell",garciafrancisco@molina.com,6,Yes,47
ORD1061,15-07-2024,18-07-2024,CUST915,Andrea Nelson,Corporate,PROD3942,Monitor,Electronics,South,Rhode Island,North Caitlinmouth,6,4217,5,24486.9,24037.76,449.14,UPI,Delivered,Young and Sons,meganmorris@long-lopez.com,8,Yes,48
ORD1062,02-09-2024,07-09-2024,CUST584,Darlene Stephens,Consumer,PROD4605,Monitor,Electronics,South,Idaho,Davidstad,10,828,0,8730,8280.68,449.32,Credit card,Pending,"Fields, Aguilar and Gonzales",kyle28@yang.info,17,No,0
ORD1063,12-10-2025,17-10-2025,CUST311,Tonya Villarreal,Corporate,PROD9332,Keyboard,Electronics,East,Alaska,South Stevenberg,3,3632,5,10801.2,10351.82,449.38,Cash,Returned,Crawford and Sons,lucasvanessa@ramirez-johnson.com,47,No,0
ORD1064,12-10-2024,17-10-2024,CUST571,Amanda Ellis,Home Office,PROD1110,Dining Table,Furniture,South,Ohio,West Davidtown,10,3332,10,30438,29988.83,449.17,UPI,Cancelled,Flores and Sons,bstark@strickland.info,25,No,0
ORD1065,20-03-2024,22-03-2024,CUST257,Joy Lane,Consumer,PROD1652,Mouse,Electronics,East,Delaware,North Chrisville,8,1810,10,13482,13032.81,449.19,Credit card,Cancelled,"Warren, Brown and Welch",hmarshall@hull.info,9,Yes,24
ORD1066,12-07-2025,15-07-2025,CUST801,Jodi Warren,Consumer,PROD3294,Study Table,Furniture,East,Louisiana,Lake Sarah,1,1677,0,2127,1677.63,449.37,Net Banking,Delivered,"Reid, Roberts and Anthony",marshalljimmy@keller-welch.com,30,No,0
ORD1067,06-08-2025,12-08-2025,CUST534,Marissa Williams,Consumer,PROD1538,Calculator,Office Supplies,South,Idaho,Lake Barbara,2,4560,5,9114,8664.87,449.13,Credit card,Delivered,Lane LLC,richard41@ortiz-wallace.com,17,No,0
ORD1068,16-11-2023,20-11-2023,CUST135,Angela Cantu,Home Office,PROD4478,Dining Table,Furniture,North,Kentucky,West Rita,3,3871,5,11482.35,11033.02,449.33,UPI,Pending,"Jackson, Smith and Berry",johnsondaisy@nelson-matthews.com,1,Yes,37
ORD1069,16-01-2024,20-01-2024,CUST723,Melissa Bailey,Home Office,PROD3388,Study Table,Furniture,West,Michigan,Blairland,3,4991,10,13925.7,13476.36,449.34,Net Banking,Delivered,Silva-Martinez,joshuagarrett@lynch.com,19,No,0
ORD1070,24-10-2025,26-10-2025,CUST759,Kristen Wilson,Corporate,PROD2116,Dining Table,Furniture,South,Idaho,Sandraport,7,2221,15,13664.95,13215.71,449.24,Credit card,Pending,Higgins-Scott,johnrose@bush.com,10,No,0
ORD1071,10-06-2024,15-06-2024,CUST777,Donna Romero,Home Office,PROD6544,Mouse,Electronics,South,Vermont,Port Ronald,3,3409,0,10677,10227.71,449.29,UPI,Pending,Nielsen PLC,allendanielle@allen.com,26,No,0
ORD1072,08-03-2025,10-03-2025,CUST873,Erica Hayes,Consumer,PROD5389,Study Table,Furniture,North,Delaware,Montoyaburgh,9,4121,20,30121.2,29671.83,449.37,Cash,Returned,"Cobb, Huffman and Moreno",petersingleton@stone-hodges.info,15,No,0
ORD1073,22-06-2025,26-06-2025,CUST532,Tamara Ramsey,Corporate,PROD4210,Pen,Office Supplies,North,Nevada,Port Markmouth,8,1247,15,8929.6,8480.34,449.26,Net Banking,Cancelled,"Whitney, James and Jimenez",nolanisaac@macias.com,32,No,0
ORD1074,21-08-2025,26-08-2025,CUST239,Gary Daniels,Corporate,PROD1528,Sugar,Grocery,South,Delaware,South Davidfort,5,3724,15,16277,15827.68,449.32,UPI,Delivered,Anderson-Mccoy,pcarr@adams.com,48,No,0
ORD1075,28-03-2025,03-04-2025,CUST102,David Frank,Corporate,PROD7027,Calculator,Office Supplies,West,New Jersey,Lake Martin,9,1133,5,10137.15,9687.89,449.26,Cash,Returned,"Hooper, Cannon and Kerr",qbrown@morris-reed.com,13,No,0
ORD1076,11-03-2024,12-03-2024,CUST664,Leslie Williamson,Corporate,PROD3477,Notebook,Office Supplies,East,South Carolina,Brianland,8,2068,20,13685.2,13235.96,449.24,UPI,Cancelled,Clark-Rodriguez,sandralloyd@garcia.net,40,No,0
ORD1077,12-09-2024,17-09-2024,CUST893,Tina Holden,Home Office,PROD5440,Sugar,Grocery,East,Alaska,Gillchester,4,1531,0,6574,6124.72,449.28,UPI,Delivered,"Walker, Anderson and Hinton",xsmith@maldonado.org,26,No,0
ORD1078,19-01-2024,23-01-2024,CUST516,Heather Gonzalez,Corporate,PROD3431,Keyboard,Electronics,South,Oregon,Biancaville,2,3553,15,6490.1,6040.96,449.14,Net Banking,Returned,Nguyen PLC,gonzalezrebecca@sanchez-pitts.biz,5,Yes,33
ORD1079,17-04-2024,22-04-2024,CUST200,Patrick Peterson,Corporate,PROD5204,Snacks,Grocery,South,Kentucky,Carlaland,3,259,10,1149.3,700.11,449.19,Net Banking,Delivered,Cole Ltd,allenjustin@singh.com,21,No,0
ORD1080,25-06-2025,30-06-2025,CUST971,James Yang,Consumer,PROD5957,Office Chair,Furniture,West,Georgia,Port Lindsey,8,1506,15,10690.8,10241.51,449.29,Cash,Delivered,Hernandez Ltd,bjones@harris.org,19,No,0
ORD1081,22-06-2025,27-06-2025,CUST281,Sarah Harris,Corporate,PROD9346,Study Table,Furniture,North,Alabama,New Jennifer,4,1395,15,5193,4743.61,449.39,Net Banking,Pending,Townsend-Rodriguez,daniel50@green-terrell.net,45,No,0
ORD1082,03-09-2024,04-09-2024,CUST279,Kelly Romero,Home Office,PROD3224,Laptop,Electronics,South,Alaska,Ryanborough,6,1909,15,10185.9,9736.62,449.28,Cash,Delivered,"Lucas, Franklin and Mullins",williamsmelanie@ali.biz,12,No,0
ORD1083,10-08-2024,14-08-2024,CUST353,Tony Green,Corporate,PROD9185,Headphones,Electronics,East,Iowa,Lake Sara,8,3695,15,25576,25126.61,449.39,UPI,Returned,"Johnson, Stevenson and Marshall",spencersanders@smith.com,40,No,0
ORD1084,11-08-2025,14-08-2025,CUST557,Rhonda Woodard,Home Office,PROD1763,Study Table,Furniture,West,Connecticut,Port Heatherside,3,2151,20,5612.4,5163,449.4,Net Banking,Delivered,Orr-Cox,joneselizabeth@landry.info,27,No,0
ORD1085,16-11-2024,20-11-2024,CUST497,Dennis Ellis,Consumer,PROD2875,Mouse,Electronics,West,Arkansas,Tiffanystad,10,1372,20,11426,10976.77,449.23,UPI,Delivered,Davis-Chapman,christina65@morton-wheeler.com,23,No,0
ORD1086,03-01-2024,10-01-2024,CUST723,Teresa Phillips DVM,Consumer,PROD7797,Office Chair,Furniture,East,North Dakota,Lake Lawrenceberg,1,3908,20,3576.4,3127.07,449.33,UPI,Returned,"Spears, Wood and Thomas",thomas14@sanders-maynard.com,31,No,0
ORD1087,04-11-2024,06-11-2024,CUST543,Brandon Thomas,Home Office,PROD8842,Snacks,Grocery,East,Nebraska,East Gloria,2,2113,10,4253.4,3804.1,449.3,Cash,Delivered,"Perez, Rodgers and Parker",romerojack@snyder-munoz.org,2,Yes,41
ORD1088,12-10-2025,16-10-2025,CUST823,Austin Newton,Corporate,PROD7697,Bookshell,Furniture,East,South Dakota,Adkinsborough,1,1080,0,1530,1080.87,449.13,Net Banking,Pending,Martinez-Flores,kimberly09@rodriguez.net,48,No,0
ORD1089,02-08-2025,09-08-2025,CUST527,Travis Martinez,Home Office,PROD9454,Dining Table,Furniture,West,Wyoming,Allenmouth,7,222,0,2004,1554.64,449.36,Net Banking,Delivered,"Jones, Mann and Stanton",tricia27@wood.com,22,No,0
ORD1090,15-09-2024,22-09-2024,CUST359,Kristen Dalton,Home Office,PROD3427,Juice Pack,Grocery,South,Missouri,Whitemouth,8,3089,20,20219.6,19770.31,449.29,UPI,Returned,Nguyen-Cooper,robert62@hernandez.com,49,No,0
ORD1091,22-12-2024,24-12-2024,CUST409,Karen Zamora,Corporate,PROD1312,Study Table,Furniture,East,Idaho,East Wendy,9,3888,20,28443.6,27994.31,449.29,Credit card,Delivered,Moore and Sons,benjamin24@rodriguez.com,15,No,0
ORD1092,01-10-2025,02-10-2025,CUST332,Megan Edwards MD,Corporate,PROD3000,Headphones,Electronics,East,New Mexico,New Frederick,7,183,0,1731,1281.76,449.24,Net Banking,Returned,Cooper and Sons,andreastone@torres.com,10,No,0
ORD1093,14-11-2024,21-11-2024,CUST170,Kelsey Lopez,Home Office,PROD3591,Stapler,Office Supplies,West,Texas,Valeriebury,2,1061,5,2465.9,2016.57,449.33,Credit card,Cancelled,"Sims, Cruz and Shelton",olewis@anthony.com,15,No,0
ORD1094,15-12-2023,18-12-2023,CUST740,Lisa White,Corporate,PROD4133,Cooking oil,Grocery,East,North Dakota,South Kelly,9,4554,10,37337.4,36888.21,449.19,UPI,Returned,Butler LLC,matthew94@tran.info,43,No,0
ORD1095,08-01-2024,15-01-2024,CUST403,Anthony Shepard,Home Office,PROD6063,Office Chair,Furniture,West,Nebraska,Brettfurt,2,2544,5,5283.6,4834.48,449.12,Cash,Returned,Moon and Sons,amitchell@allen-mcbride.biz,6,Yes,36
ORD1096,05-02-2025,10-02-2025,CUST530,Elizabeth Christensen,Home Office,PROD7910,Cooking oil,Grocery,West,Kentucky,Perrystad,10,1151,15,10233.5,9784.15,449.35,UPI,Cancelled,"Gray, Gibson and Nguyen",andres01@johnson-johnson.com,41,No,0
ORD1097,15-04-2025,20-04-2025,CUST514,Angela Whitney,Corporate,PROD4385,Office Chair,Furniture,South,Illinois,East Tyler,2,4591,0,9632,9182.89,449.11,Cash,Cancelled,Chase-Garcia,samuelbeck@adkins-lam.com,32,No,0
ORD1098,26-12-2024,29-12-2024,CUST683,Tina Murray,Home Office,PROD6270,Calculator,Office Supplies,West,Minnesota,North Cassidytown,5,2576,0,13330,12880.78,449.22,Credit card,Returned,"Maldonado, Blankenship and Mcdowell",collinstravis@irwin.com,47,No,0
ORD1099,27-12-2024,28-12-2024,CUST349,John Stark,Corporate,PROD2430,Juice Pack,Grocery,East,South Dakota,New Renee,3,1261,10,3854.7,3405.58,449.12,Net Banking,Pending,Powell-Johnson,sjohnson@gonzales-hardin.com,32,No,0
ORD1100,29-03-2025,01-04-2025,CUST523,James Hill,Home Office,PROD9962,Bookshell,Furniture,East,Oregon,Andrewside,1,1535,15,1754.75,1305.63,449.12,Credit card,Delivered,"Kelly, Williams and Lewis",chopkins@mccoy-boyd.net,29,No,0
ORD1101,07-11-2023,08-11-2023,CUST217,Michelle Li DDS,Consumer,PROD5442,Laptop,Electronics,West,North Dakota,Edwardshire,7,4146,20,23667.6,23218.46,449.14,Credit card,Cancelled,"Mcdaniel, Jenkins and Hurley",omitchell@miller.com,25,No,0
ORD1102,02-12-2023,05-12-2023,CUST818,David Johnston,Corporate,PROD4206,Laptop,Electronics,South,Florida,Bergborough,4,233,5,1335.4,886.2,449.2,Net Banking,Delivered,Young-Martin,jeffrey56@burns-lewis.com,3,Yes,23
ORD1103,19-07-2025,26-07-2025,CUST820,Robert Molina,Consumer,PROD6352,Stapler,Office Supplies,North,Maine,Chaseberg,9,2171,0,19989,19539.74,449.26,Cash,Returned,Nelson-Arnold,lmarshall@hicks.org,33,No,0
ORD1104,01-05-2024,07-05-2024,CUST165,Patricia Goodman,Consumer,PROD5487,Office Chair,Furniture,West,California,Lake Rickyside,5,1922,15,8723.5,8169.24,554.26,Cash,Returned,"Burke, Miller and Bartlett",bairdvictor@williams.com,45,No,0
